GENE	293A_WT_T22_AB_XF498	293A_LKB1_T22_AB	293A_PTEN_T22_AB	293A_VHL_T22_AB	293A_BAP1NUMBER2_16_T25_AB	293A_CDH1NUMBER2_15_T24_AB	293A_NF2NUMBER2_3_T24_AB	293A_WT_T21_AB_XF646	293A_PBRM1_T25_AB	293A_SETD2_T24_AB	293A_WT_T20_AB_XF804	293A_ARID1A_T21_AB	293A_NF1_T24_AB	293A_RB1_T21_AB	293A_TP53_T21_AB	293A_WT_T21_AB_XF821	293A_KEAP1_T22_AB	293A_g53BP1#1_T22_AB
MRPL48	20.032	10.116	18.367	22.796	36.196999999999996	2.99	10.589	11.924000000000001	3.968	6.962000000000001	21.052	8.002	19.042	13.298	6.02	4.058	14.375	6.332999999999998
MRPL49	8.492	3.836	0.471	2.161	0.773	10.319	-7.223	4.452	-2.123	1.489	2.7510000000000003	13.478	-2.6519999999999997	5.0280000000000005	5.276	-2.833	-1.287	7.957000000000002
MRPL50	8.237	22.315	19.264	18.282	26.13	17.529	9.515	8.786	9.766	13.954	6.084	10.679	20.82	20.901999999999997	8.386000000000001	9.375	5.0569999999999995	32.485
MRPL51	21.701	16.083	18.231	22.993	18.012999999999998	15.119000000000002	13.584000000000001	11.429	10.682	16.745	20.048	12.763	-7.165	8.516	8.957	4.35	15.806	13.109000000000002
MRPL52	-11.021	-11.864	-5.2010000000000005	-3.324	-0.135	-14.067	-6.3389999999999995	0.48100000000000004	1.095	-9.13	-8.879	-16.430999999999997	0.259	-7.7379999999999995	-3.45	-5.731	-8.449	-12.541
MRPL53	32.055	38.065	57.021	42.45399999999999	44.001000000000005	41.62	44.707	58.97	38.972	35.44	47.11600000000001	45.632	19.918	31.339000000000002	18.279	34.422	30.076	28.245
MRPL54	12.555	16.885	16.647000000000002	3.758	-0.536	8.664	-3.3480000000000003	11.635	14.88	-0.222	4.075	17.673	3.532	11.22	0.59	11.427999999999999	15.741	13.198
MRPL55	6.239	-0.614	9.642	8.769	9.714	8.257	5.803999999999999	7.625	-4.346	-4.851	3.605	5.058	3.299	-6.882000000000001	-4.58	-0.62	-6.937	-23.737
MRPL9	7.018	-2.837	9.17	4.621	1.6230000000000002	-1.494	6.792999999999999	5.989	-1.249	0.797	10.133	4.591	-3.987	-11.825	3.38	-1.0390000000000001	4.027	0.63
MRPS10	22.439	31.097	12.684	0.098	6.34	8.516	11.043	10.956	10.95	11.784	12.115	-0.4	6.452000000000001	7.555	12.097999999999999	5.202000000000001	16.549	4.789
